,station_id,stationname,date,daytype,rides,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,Location,zip_codes,has_market,month,spring,latitude,longitude,top_stations
248465,40450,95th/Dan Ryan,2012-05-26,A,7967,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248466,40450,95th/Dan Ryan,2012-05-27,U,6920,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248467,40450,95th/Dan Ryan,2012-05-28,U,6254,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248745,40450,95th/Dan Ryan,2013-03-02,A,7175,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248746,40450,95th/Dan Ryan,2013-03-03,U,5424,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248752,40450,95th/Dan Ryan,2013-03-09,A,6952,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248753,40450,95th/Dan Ryan,2013-03-10,U,5143,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248759,40450,95th/Dan Ryan,2013-03-16,A,7106,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248760,40450,95th/Dan Ryan,2013-03-17,U,5255,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248766,40450,95th/Dan Ryan,2013-03-23,A,7128,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
